id,title,vendor,productType,variantsCount/count,mf_status/value,sku,product/id,product/title,image,__parentId,image/altText,image/url
gid://shopify/Product/7559533822176,Aileen Rectangle Dining Table Brown,Safavieh,Dining Tables,1,Active,,,,,,,
gid://shopify/ProductVariant/42433934491872,,,,,,DTB9217A,gid://shopify/Product/7559533822176,Aileen Rectangle Dining Table Brown,,gid://shopify/Product/7559533822176,,
gid://shopify/MediaImage/29208944279776,,,,,,,,,,gid://shopify/Product/7559533822176,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9217A-SIDE.jpg?v=1644733917
gid://shopify/MediaImage/29208944312544,,,,,,,,,,gid://shopify/Product/7559533822176,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9217A-FRONT.jpg?v=1644733917
gid://shopify/MediaImage/29208944345312,,,,,,,,,,gid://shopify/Product/7559533822176,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9217A-SIDE2.jpg?v=1644733917
gid://shopify/MediaImage/29208944410848,,,,,,,,,,gid://shopify/Product/7559533822176,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9217A-DETAIL.jpg?v=1644733917
gid://shopify/MediaImage/29208944443616,,,,,,,,,,gid://shopify/Product/7559533822176,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9217A-DETAIL2.jpg?v=1644733917
gid://shopify/MediaImage/29208944476384,,,,,,,,,,gid://shopify/Product/7559533822176,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9217A-ROOM.jpg?v=1644733917
gid://shopify/MediaImage/29208944509152,,,,,,,,,,gid://shopify/Product/7559533822176,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9217A-ROOM2.jpg?v=1644733917
gid://shopify/MediaImage/29208944541920,,,,,,,,,,gid://shopify/Product/7559533822176,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9217A-DIM.jpg?v=1644733917
gid://shopify/Product/7559534248160,Akito Rectangle Dining Table White/Natural,Safavieh,Dining Tables,1,Active,,,,,,,
gid://shopify/ProductVariant/42433935180000,,,,,,DTB9210A,gid://shopify/Product/7559534248160,Akito Rectangle Dining Table White/Natural,,gid://shopify/Product/7559534248160,,
gid://shopify/MediaImage/29208948605152,,,,,,,,,,gid://shopify/Product/7559534248160,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9210A-SIDE.jpg?v=1644733983
gid://shopify/MediaImage/29208948637920,,,,,,,,,,gid://shopify/Product/7559534248160,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9210A-FRONT.jpg?v=1644733983
gid://shopify/MediaImage/29208948670688,,,,,,,,,,gid://shopify/Product/7559534248160,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9210A-SIDE2.jpg?v=1644733983
gid://shopify/MediaImage/29208948736224,,,,,,,,,,gid://shopify/Product/7559534248160,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9210A-DETAIL.jpg?v=1644733983
gid://shopify/MediaImage/29208948768992,,,,,,,,,,gid://shopify/Product/7559534248160,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9210A-DETAIL2.jpg?v=1644733983
gid://shopify/MediaImage/29208948801760,,,,,,,,,,gid://shopify/Product/7559534248160,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9210A-ROOM.jpg?v=1644733983
gid://shopify/MediaImage/29208948834528,,,,,,,,,,gid://shopify/Product/7559534248160,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9210A-ROOM2.jpg?v=1644733983
gid://shopify/MediaImage/29208948867296,,,,,,,,,,gid://shopify/Product/7559534248160,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9210A-DIM.jpg?v=1644733983
gid://shopify/Product/7559536476384,Ardelle Round Table Ash Gray,Safavieh,Outdoor Dining Tables,1,Active,,,,,,,
gid://shopify/ProductVariant/42433939276000,,,,,,PAT6735B,gid://shopify/Product/7559536476384,Ardelle Round Table Ash Gray,,gid://shopify/Product/7559536476384,,
gid://shopify/MediaImage/29208965447904,,,,,,,,,,gid://shopify/Product/7559536476384,,https://cdn.shopify.com/s/files/1/0220/3498/products/PAT6735B-FRONT.jpg?v=1644734253
gid://shopify/MediaImage/29208965480672,,,,,,,,,,gid://shopify/Product/7559536476384,,https://cdn.shopify.com/s/files/1/0220/3498/products/PAT6735B-DETAIL.jpg?v=1644734253
gid://shopify/MediaImage/29208965513440,,,,,,,,,,gid://shopify/Product/7559536476384,,https://cdn.shopify.com/s/files/1/0220/3498/products/PAT6735B-ROOM.jpg?v=1644734254
gid://shopify/Product/7559536509152,Ardelle Round Table Dark Slate Gray,Safavieh,Outdoor Dining Tables,1,Active,,,,,,,
gid://shopify/ProductVariant/42433939308768,,,,,,PAT6735K,gid://shopify/Product/7559536509152,Ardelle Round Table Dark Slate Gray,,gid://shopify/Product/7559536509152,,
gid://shopify/MediaImage/29208965546208,,,,,,,,,,gid://shopify/Product/7559536509152,,https://cdn.shopify.com/s/files/1/0220/3498/products/PAT6735K-FRONT.jpg?v=1644734257
gid://shopify/MediaImage/29208965578976,,,,,,,,,,gid://shopify/Product/7559536509152,,https://cdn.shopify.com/s/files/1/0220/3498/products/PAT6735K-DETAIL.jpg?v=1644734257
gid://shopify/MediaImage/29208965611744,,,,,,,,,,gid://shopify/Product/7559536509152,,https://cdn.shopify.com/s/files/1/0220/3498/products/PAT6735K-ROOM.jpg?v=1644734257
gid://shopify/Product/7559536443616,Ardelle Round Table Teak,Safavieh,Outdoor Dining Tables,1,Active,,,,,,,
gid://shopify/ProductVariant/42433939243232,,,,,,PAT6735A,gid://shopify/Product/7559536443616,Ardelle Round Table Teak,,gid://shopify/Product/7559536443616,,
gid://shopify/MediaImage/29208965284064,,,,,,,,,,gid://shopify/Product/7559536443616,,https://cdn.shopify.com/s/files/1/0220/3498/products/PAT6735A-FRONT.jpg?v=1644734250
gid://shopify/MediaImage/29208965316832,,,,,,,,,,gid://shopify/Product/7559536443616,,https://cdn.shopify.com/s/files/1/0220/3498/products/PAT6735A-DETAIL.jpg?v=1644734250
